等級,日期和時間,來源,事件識別碼,工作類別
資訊,2025/6/26 下午 10:09:39,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\MicrosoftWindows.CrossDevice_cw5n1h2txyewy\Settings\settings.dat 中的存取歷程記錄，更新了 38 個機碼並建立了 5 個修改的頁面。
資訊,2025/6/26 下午 10:09:38,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Packages\MicrosoftWindows.CrossDevice_cw5n1h2txyewy\S-1-5-21-3066462119-231999793-920245347-1001\SystemAppData\Helium\Cache\77613d365ac5ace9_COM15.dat 中的存取歷程記錄，更新了 1 個機碼並建立了 1 個修改的頁面。
資訊,2025/6/26 下午 10:09:38,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\MicrosoftWindows.CrossDevice_cw5n1h2txyewy\SystemAppData\Helium\UserClasses.dat 中的存取歷程記錄，更新了 6 個機碼並建立了 1 個修改的頁面。
資訊,2025/6/26 下午 10:09:38,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\MicrosoftWindows.CrossDevice_cw5n1h2txyewy\SystemAppData\Helium\User.dat 中的存取歷程記錄，更新了 9 個機碼並建立了 3 個修改的頁面。
資訊,2025/6/26 下午 10:09:37,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Packages\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_0a9344xs7nr4m\S-1-5-21-3066462119-231999793-920245347-1001\SystemAppData\Helium\Cache\878ceb8629a07e5b_COM15.dat 中的存取歷程記錄，更新了 1 個機碼並建立了 1 個修改的頁面。
資訊,2025/6/26 下午 10:09:37,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_0a9344xs7nr4m\SystemAppData\Helium\UserClasses.dat 中的存取歷程記錄，更新了 13 個機碼並建立了 1 個修改的頁面。
資訊,2025/6/26 下午 10:09:37,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_0a9344xs7nr4m\SystemAppData\Helium\User.dat 中的存取歷程記錄，更新了 39 個機碼並建立了 4 個修改的頁面。
資訊,2025/6/26 下午 10:09:28,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe\Settings\settings.dat 中的存取歷程記錄，更新了 2 個機碼並建立了 1 個修改的頁面。
資訊,2025/6/26 下午 10:09:28,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Packages\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe\S-1-5-21-3066462119-231999793-920245347-1001\SystemAppData\Helium\Cache\b9f06e432449c527_COM15.dat 中的存取歷程記錄，更新了 1 個機碼並建立了 1 個修改的頁面。
資訊,2025/6/26 下午 10:09:27,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Microsoft\VisualStudio\17.0_61533723\privateregistry.bin 中的存取歷程記錄，更新了 8 個機碼並建立了 3 個修改的頁面。
資訊,2025/6/26 下午 10:09:18,Microsoft-Windows-Kernel-General,15,(10),登錄區 \??\C:\WINDOWS\System32\SMI\Store\Machine\schema.dat 已重新組織為開始大小為 10772480 個位元組且結束大小為 10752000 個位元組。
